seller,seller_rank,item_sales_brl,cumulative_pct_sellers,cumulative_pct_sales
ca3bd7cd9f149df75950150d010fe4a2,310,8827.55,11.0992,69.2996
066a6914e1ebf3ea95a216c73a986b91,311,8815.29,11.135,69.371
06df0c10d34e459d9672bc77388742eb,312,8771.0,11.1708,69.4421
af4a0e4cfe1d9c26b6712b1be25a72e5,313,8757.98,11.2066,69.5131
6d803cb79cc31c41c4c789a75933b3c7,314,8711.4,11.2424,69.5836
d03698c2efd04a549382afa6623e27fb,315,8703.92,11.2782,69.6542
3c487ae8f8d7542beff5788e2e0aea83,316,8686.0,11.314,69.7245
a49928bcdf77c55c6d6e05e09a9b4ca5,317,8646.9,11.3498,69.7946
17306570e772e7718c92a562d33f5f1d,318,8640.0,11.3856,69.8646
048c2757535328e0d7dac690ad3c0aae,319,8623.68,11.4214,69.9345
31344c16881c08a8a72c6d2eb29918c1,320,8546.2,11.4572,70.0037
7040e82f899a04d1b434b795a43b4617,321,8527.4,11.493,70.0728
5f2684dab12e59f83bef73ae57724e45,322,8527.37,11.5288,70.1419
6c7d50c24b3ccd2fd83b44d8bb34e073,323,8401.08,11.5646,70.21
624f4ece8da4aafb77699233d480f8ef,324,8380.0,11.6004,70.2778
289cdb325fb7e7f891c38608bf9e0962,325,8315.25,11.6362,70.3452
f27e33c6d29b5138fa9967bcd445b6d5,326,8299.2,11.672,70.4125
259f7b5e6e482c230e5bfaa670b6bb8f,327,8295.34,11.7078,70.4797
054694fa03fe82cec4b7551487331d74,328,8286.1,11.7436,70.5468
7b07b3c7487f0ea825fc6df75abd658b,329,8260.77,11.7794,70.6137
1da3aeb70d7989d1e6d9b0e887f97c23,330,8238.72,11.8153,70.6805
fdb9095204a334cd8872252ffec6f2db,331,8156.0,11.8511,70.7466
93dc87703c046b603023e75222018b45,332,8149.35,11.8869,70.8126
270297ead4c65a6cd2593960d2af6b21,333,8145.4,11.9227,70.8786
784ba75dd9d20200c4caed3d7a77141a,334,8142.33,11.9585,70.9446
8fb791022c1fc8909664f48ab7dc636d,335,8119.95,11.9943,71.0103
6bd69102ab48df500790a8cecfc285c2,336,8070.0,12.0301,71.0757
fffd5413c0700ac820c7069d66d98c89,337,8049.6,12.0659,71.141
b92e3c8f9738272ff7c59e111e108d7c,338,8021.19,12.1017,71.2059
4371b634e0efc0e22b09b52907d9d469,339,8021.0,12.1375,71.2709
6e386f64c84e482f0b9abf960797ee1b,340,7945.5,12.1733,71.3353
562fc2f2c2863ab7e79a9e4388a58a14,341,7914.39,12.2091,71.3994
3078096983cf766a32a06257648502d1,342,7910.84,12.2449,71.4635
cbd996ad3c1b7dc71fd0e5f5df9087e2,343,7910.61,12.2807,71.5276
bbf9ad41dca6603e614efcdad7aab8c4,344,7846.0,12.3165,71.5912
2dee2ce60de9709b1a24083217181a1f,345,7784.5,12.3523,71.6543
fcb5ace8bcc92f75707dc0f01a27d269,346,7744.66,12.3881,71.717
6c177e38df6d3f34182b1f1d427231bf,347,7723.89,12.4239,71.7796
972d0f9cf61b499a4812cf0bfa3ad3c4,348,7692.11,12.4597,71.8419
2089a6d640999f9b9141ac719b2af596,349,7676.02,12.4955,71.9041
52f976b17ea7f2f087f56dcc419328f6,350,7630.0,12.5313,71.9659
3bb548e3cb7f70f28e3f11ee9dce0e59,351,7615.02,12.5671,72.0276
b1fc4f64df5a0e8b6913ab38803c57a9,352,7609.66,12.6029,72.0893
9b013e03b2ab786505a1d3b5c0756754,353,7594.3,12.6387,72.1508
